Alcaldía,MSE,MAE,R2
ALVARO OBREGON,0.49457774741647237,0.5071511726203357,0.5055604828178151
AZCAPOTZALCO,0.21537556675691552,0.3314612001592515,0.7771336754043388
BENITO JUAREZ,0.3460419275628381,0.419670587411839,0.65013287761665
COYOACAN,0.5157237329448572,0.5581940139869883,0.4882704644834608
CUAJIMALPA DE MORELOS,0.546963665985486,0.5622971479853076,0.4610165120119951
CUAUHTEMOC,0.9507525346426368,0.6862987805745029,0.08326477654430109
GUSTAVO A MADERO,0.7014729479722511,0.4590248850986937,0.45095356940884546
IZTACALCO,0.2896156527006153,0.3913093105993603,0.7129909632223643
IZTAPALAPA,0.4919585012175351,0.5302052546952462,0.49328655376630093
LA MAGDALENA CONTRERAS,1.0457600946398862,0.7384361038621783,-0.04252165886239889
MIGUEL HIDALGO,0.30466502134009,0.41075884245556965,0.6922992774019572
MILPA ALTA,0.37612639187887387,0.010768535817304522,-53484.64795270253
TLAHUAC,0.27917173650546984,0.39136379637271634,0.7194230851943177
TLALPAN,1.2591542611986353,0.9045110368590366,-0.26134988708117235
VENUSTIANO CARRANZA,0.36347922072426525,0.44958425243180017,0.6471589776932467
XOCHIMILCO,0.6746709768418315,0.6457757684663001,0.31761294147788033
ALVARO OBREGON,0.35578846294812216,0.4499365701015391,0.6436592021652909
AZCAPOTZALCO,0.23596159004015774,0.40870592990277826,0.7657232539677845
BENITO JUAREZ,0.17244033615462764,0.32803208359676644,0.8203026245323609
COYOACAN,0.30602773610196854,0.4166183828999599,0.6900034612300463
CUAJIMALPA DE MORELOS,0.45548155261736634,0.5319001402887059,0.5441426176420493
CUAUHTEMOC,0.4275132655500868,0.4715328361485353,0.5702175606006116
GUSTAVO A MADERO,0.25498617609636953,0.35848880113040893,0.744023232060031
IZTACALCO,0.1507553678661486,0.2711188545207104,0.8480445878529547
IZTAPALAPA,0.4258766718749247,0.4645909925598307,0.5756692490953818
LA MAGDALENA CONTRERAS,0.6798668082092231,0.6070447026398404,0.3283637731178566
MIGUEL HIDALGO,0.4676819522123608,0.505084823021862,0.52990916393476
MILPA ALTA,0.33028723850876807,0.43659636316097056,0.6647253630751565
TLAHUAC,0.19636623218725624,0.33288925895096927,0.8092084357108742
TLALPAN,0.9313897846323749,0.7569983666022105,0.08535959466225229
VENUSTIANO CARRANZA,0.18779306585317365,0.3114430497353432,0.8197460853299254
XOCHIMILCO,0.5591622996257167,0.5198765791507347,0.4456342660194811
ALVARO OBREGON,0.5114570060238276,0.2791513323297516,0.47980997840352124
AZCAPOTZALCO,0.3233587578819407,0.20430578873345698,0.6778084131738614
BENITO JUAREZ,0.7408966643424308,0.34244960325810303,0.281351762420203
COYOACAN,0.6530564898288613,0.32619120749003283,0.3467285793593332
CUAJIMALPA DE MORELOS,0.5293469699044353,0.29529095544516704,0.44968447933215816
CUAUHTEMOC,0.5763156555693412,0.2925442141374917,0.3818592296032354
GUSTAVO A MADERO,0.5143328339640687,0.2459270375444867,0.5075353385207679
IZTACALCO,0.6701778445267226,0.31800869174235713,0.3244764906250358
IZTAPALAPA,0.5120064805396956,0.25177868505067147,0.4888275669502139
LA MAGDALENA CONTRERAS,0.5308474117418364,0.3019707914571931,0.45615096808301103
MIGUEL HIDALGO,0.514017186249234,0.26034761467882334,0.4847260898110337
MILPA ALTA,0.5158285183920116,0.2738214876178191,0.4816189828222587
TLAHUAC,0.4775126869853322,0.24051504028355078,0.5086090219504431
TLALPAN,0.6067220871814271,0.3162118468948297,0.4195137470042547
VENUSTIANO CARRANZA,0.6213088222997362,0.2908924604191402,0.35339946076585493
XOCHIMILCO,0.5586507109662223,0.3031944594020702,0.4107323054435603
